timestamp,original_x,original_y,original_z,selected_x,selected_y,selected_z,total_score,score_slope,score_obstacle,score_distance,score_edge
2026-03-28 14:44:30.206,-0.0028,-0.0014,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:30.486,0.1967,0.1357,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:30.733,0.6637,0.2647,0.8000,0.4637,0.3647,0.8000,0.8945,0.5000,0.9898,0.7991,1.0000
2026-03-28 14:44:30.734,0.3963,0.2728,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:30.976,0.6637,0.2647,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:31.178,0.2357,0.1519,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:31.445,0.3681,0.2512,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:31.712,0.6886,0.2885,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:31.978,0.8809,0.1782,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:32.201,1.2000,0.0000,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:32.454,0.6316,0.2597,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:32.687,0.8233,0.2741,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:32.963,1.2000,0.0000,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:35.703,1.1357,0.0393,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:35.975,1.2000,0.0000,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:37.001,1.1203,0.0530,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:37.286,1.2000,0.0000,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:37.883,1.1586,0.0366,0.8000,-,-,-,-,-,-,-
2026-03-28 14:44:38.206,1.2000,0.0000,0.8000,-,-,-,-,-,-,-
