timestamp,original_x,original_y,original_z,selected_x,selected_y,selected_z,total_score,score_slope,score_obstacle,score_distance,score_edge
2026-03-26 16:09:32.323,0.5575,0.5428,0.8000,0.3575,0.4428,0.8000,0.9306,0.5000,1.0000,0.8613,1.0000
2026-03-26 16:09:34.152,1.2796,1.2808,0.8000,1.0796,1.0808,0.8000,0.9744,0.5000,1.0000,0.9489,1.0000
2026-03-26 16:09:34.920,1.0796,1.0808,0.8000,1.2796,1.2808,0.8000,0.9853,0.5000,1.0000,0.9707,1.0000
2026-03-26 16:09:36.723,2.0000,2.0000,0.8000,1.8000,1.8000,0.8000,0.9834,0.5000,1.0000,0.9667,1.0000
2026-03-26 16:10:00.592,1.3733,1.3691,0.8000,1.5733,1.5691,0.8000,0.9420,0.5000,1.0000,0.8840,1.0000
2026-03-26 16:10:02.331,0.9099,0.9093,0.8000,1.1099,1.1093,0.8000,0.9985,0.5000,1.0000,0.9970,1.0000
2026-03-26 16:10:03.946,0.5801,0.5752,0.8000,0.7801,0.7752,0.8000,0.9907,0.5000,1.0000,0.9815,1.0000
2026-03-26 16:10:05.568,0.0000,0.0000,0.8000,0.2000,0.2000,0.8000,0.9017,0.5000,0.8148,0.9887,1.0000
2026-03-26 16:10:26.949,0.4240,0.2828,0.8000,0.4240,0.2828,0.8000,0.8618,0.5000,0.8166,0.9070,1.0000
2026-03-26 16:10:27.563,0.2912,0.2318,0.8000,0.0912,0.1318,0.8000,0.8958,0.5000,0.9076,0.8840,1.0000
2026-03-26 16:10:29.102,1.2000,0.0000,0.8000,1.0000,0.2000,0.8000,0.9753,0.5000,1.0000,0.9506,1.0000
