timestamp,original_x,original_y,original_z,selected_x,selected_y,selected_z,total_score,score_slope,score_obstacle,score_distance,score_edge
2026-03-26 17:11:45.358,0.5553,0.2846,0.8000,0.7553,0.2846,0.8000,0.8592,0.5000,0.8993,0.8190,1.0000
2026-03-26 17:11:46.950,0.3775,0.2748,0.8000,0.5775,0.2748,0.8000,0.8450,0.5000,0.7743,0.9157,1.0000
2026-03-26 17:12:10.849,0.0000,0.0000,0.8000,0.0000,0.0000,0.8000,0.9484,0.5000,0.9003,0.9964,1.0000
2026-03-26 17:13:09.984,0.6779,0.2008,0.8000,0.4779,0.4008,0.8000,0.8992,0.5000,1.0000,0.7984,1.0000
2026-03-26 17:13:12.478,1.2000,0.0000,0.8000,1.0000,0.2000,0.8000,0.8725,0.5000,1.0000,0.7450,1.0000
2026-03-26 17:13:27.412,0.4690,0.2553,0.8000,0.6690,0.3553,0.8000,0.8605,0.5000,0.9773,0.7437,1.0000
2026-03-26 17:13:28.395,0.9949,0.0899,0.8000,1.1949,-0.0101,0.8000,0.9878,0.5000,1.0000,0.9757,1.0000
2026-03-26 17:13:30.146,0.0335,0.0328,0.8000,0.1335,0.2328,0.8000,0.8495,0.5000,0.9221,0.7769,1.0000
2026-03-26 17:13:53.570,0.1540,0.1327,0.8000,-0.0460,0.0327,0.8000,0.9419,0.5000,1.0000,0.8838,1.0000
2026-03-26 17:13:54.303,-0.0460,0.0327,0.8000,0.1540,0.2327,0.8000,0.7658,0.5000,0.9276,0.6041,1.0000
2026-03-26 17:13:56.334,1.2000,0.0000,0.8000,0.9000,0.0000,0.8000,0.9227,0.5000,0.8480,0.9973,1.0000
